segment_id	segment_order	segment_text	search_query	suggested_insert_text	citation_marker	support_grade	title	journal	family	year	doi	doi_url	authors	score	screening_note
S001	1	Edge inference systems must maintain classification performance under limited local compute and uncontrolled deployment conditions	Edge inference systems must maintain classification performance under limited local compute and uncontrolled deployment conditions	(Kong et al., 2026)	(Kong et al., 2026)	metadata-only candidate	Object detection on low-compute edge SoCs: a reproducible benchmark and deployment guidelines	Scientific Reports	Nature Portfolio	2026	10.1038/s41598-026-36862-y	https://doi.org/10.1038/s41598-026-36862-y	Kong, Chang; Li, Feng; Yan, Xiaohu; Yang, Jinfeng; Mo, Peng; Luo, Qiuming; Mao, Rui	23.628136	Inspect abstract/publisher page before citing this paper as support.
S002	2	Photonic computing architectures offload linear operations to light propagation to relieve edge storage and compute pressure	Photonic computing architectures offload linear operations to light propagation to relieve edge storage and compute pressure	(Friedman et al., 2025)	(Friedman et al., 2025)	metadata-only candidate	Programmable space-frequency linear transformations in photonic interlacing architectures	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-19176-3	https://doi.org/10.1038/s41598-025-19176-3	Friedman, Jonathan; Zelaya, Kevin; Honari-Latifpour, Mostafa; Miri, Mohammad-Ali	22.109772	Inspect abstract/publisher page before citing this paper as support.
S003	3	Diffractive deep neural networks modulate light with trainable passive phase layers and classify by output-plane intensity	Diffractive deep neural networks modulate light with trainable passive phase layers and classify by output-plane intensity	(Zarei et al., 2025) (Goi et al., 2022)	(Zarei et al., 2025)	metadata-only candidate	Programmable diffractive deep neural networks enabled by integrated rewritable metasurfaces	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-19638-8	https://doi.org/10.1038/s41598-025-19638-8	Zarei, Sanaz	29.491901	Inspect abstract/publisher page before citing this paper as support.
S003	3	Diffractive deep neural networks modulate light with trainable passive phase layers and classify by output-plane intensity	Diffractive deep neural networks modulate light with trainable passive phase layers and classify by output-plane intensity	(Zarei et al., 2025) (Goi et al., 2022)	(Goi et al., 2022)	metadata-only candidate	Direct retrieval of Zernike-based pupil functions using integrated diffractive deep neural networks	Nature Communications	Nature Portfolio	2022	10.1038/s41467-022-35349-4	https://doi.org/10.1038/s41467-022-35349-4	Goi, Elena; Schoenhardt, Steffen; Gu, Min	26.73818	Inspect abstract/publisher page before citing this paper as support.
S004	4	Diffractive neural networks are sensitive to layer misalignment, propagation distance error, phase noise, detector noise and phase quantization	Diffractive neural networks are sensitive to layer misalignment propagation distance error phase noise detector noise and phase quantization	(Zarei et al., 2025)	(Zarei et al., 2025)	metadata-only candidate	Programmable diffractive deep neural networks enabled by integrated rewritable metasurfaces	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-19638-8	https://doi.org/10.1038/s41598-025-19638-8	Zarei, Sanaz	23.183702	Inspect abstract/publisher page before citing this paper as support.
S005	5	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	(Zarei et al., 2022) (Luo et al., 2022)	(Zarei et al., 2022)	metadata-only candidate	Realization of optical logic gates using on-chip diffractive optical neural networks	Scientific Reports	Nature Portfolio	2022	10.1038/s41598-022-19973-0	https://doi.org/10.1038/s41598-022-19973-0	Zarei, Sanaz; Khavasi, Amin	23.571728	Inspect abstract/publisher page before citing this paper as support.
S005	5	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	(Zarei et al., 2022) (Luo et al., 2022)	(Luo et al., 2022)	metadata-only candidate	Cascadable all-optical NAND gates using diffractive networks	Scientific Reports	Nature Portfolio	2022	10.1038/s41598-022-11331-4	https://doi.org/10.1038/s41598-022-11331-4	Luo, Yi; Mengu, Deniz; Ozcan, Aydogan	22.268875	Inspect abstract/publisher page before citing this paper as support.
S005	5	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	Sampling lateral and axial misalignment during training improves alignment tolerance of diffractive optical networks	(Zarei et al., 2022) (Luo et al., 2022)	(Chen et al., 2026)	metadata-only candidate	High-precision integrated diffractive optical networks enabling regression analysis	Nature Communications	Nature Portfolio	2026	10.1038/s41467-026-76933-2	https://doi.org/10.1038/s41467-026-76933-2	Chen, Chao; Ding, Hanting; Yu, Yu; Zhang, Xinliang	21.445217	Inspect abstract/publisher page before citing this paper as support.
S006	6	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Zarei et al., 2025)	metadata-only candidate	Programmable diffractive deep neural networks enabled by integrated rewritable metasurfaces	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-19638-8	https://doi.org/10.1038/s41598-025-19638-8	Zarei, Sanaz	29.491917	Inspect abstract/publisher page before citing this paper as support.
S006	6	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Goi et al., 2022)	metadata-only candidate	Direct retrieval of Zernike-based pupil functions using integrated diffractive deep neural networks	Nature Communications	Nature Portfolio	2022	10.1038/s41467-022-35349-4	https://doi.org/10.1038/s41467-022-35349-4	Goi, Elena; Schoenhardt, Steffen; Gu, Min	26.741007	Inspect abstract/publisher page before citing this paper as support.
